state,2018,2019,2020,2021
AK,911.985,974.93,966.128,924.964
AL,868.298,785.573,721.058,754.477
AR,1219.144,1127.943,951.287,1093.143
AZ,972.245,873.324,736.979,727.621
CA,422.029,387.183,453.118,480.495
CO,1371.37,1331.073,1219.237,1224.554
CT,509.483,477.422,529.766,518.132
DC,440.07,797.692,801.121,652.641
DE,900.386,711.478,755.03,870.064
FL,947.724,877.279,842.169,837.484
GA,931.858,880.947,723.513,762.426
HI,1524.783,1562.715,1526.502,1502.553
IA,1077.362,861.458,615.198,774.429
ID,160.695,211.388,213.396,271.959
IL,818.543,725.775,556.444,657.322
IN,1748.524,1634.194,1549.453,1642.93
KS,996.6,893.638,804.193,844.64
KY,1835.661,1780.633,1684.874,1739.76
LA,839.429,826.315,761.738,828.738
MA,733.843,780.58,879.901,859.582
MD,841.164,738.699,645.325,702.004
ME,268.221,213.565,228.179,309.376
MI,1115.764,1013.43,938.031,1010.281
MN,1003.107,880.927,770.366,831.556
MO,1712.893,1598.82,1618.421,1648.98
MS,919.517,837.358,894.134,836.362
MT,1165.931,1262.73,912.637,1053.043
NC,804.074,779.54,648.445,672.657
ND,1516.85,1447.492,1388.144,1350.962
NE,1417.525,1265.629,1200.668,1133.709
NH,305.815,256.236,247.895,308.045
NJ,502.141,545.188,492.293,483.134
NM,1340.42,1326.871,1259.873,1140.834
NV,746.62,739.325,716.623,716.864
NY,418.683,378.247,416.695,457.021
OH,1329.846,1242.457,1253.278,1214.858
OK,893.383,734.245,708.652,756.645
OR,314.16,398.131,341.611,326.719
PA,788.844,758.757,697.527,729.637
PR,1543.34,1543.34,1608.496,1563.896
RI,868.776,852.284,827.559,833.578
SC,634.563,538.392,513.861,570.394
SD,519.987,492.117,340.583,304.589
TN,748.355,704.378,571.407,702.647
TX,983.662,913.424,857.519,860.242
UT,1609.35,1601.821,1565.76,1571.196
VA,742.844,635.848,644.845,601.547
VT,57.507,51.263,30.31,44.834
WA,200.042,299.096,213.274,202.954
WI,1396.254,1232.987,1192.012,1274.933
WV,1961.459,1945.242,1924.732,1959.375
WY,2063.758,2068.992,1990.105,1847.419
